id,time,thing_id,location_id
1,2023-05-11 04:07:29,54,122
2,2023-09-25 22:44:29,18,38
3,2023-07-06 10:33:25,90,16
4,2023-09-07 12:25:04,194,39
5,2023-08-21 11:50:08,22,4
6,2023-02-06 05:15:03,4,67
7,2023-04-13 04:07:21,144,61
8,2023-12-14 05:17:05,94,138
9,2023-01-04 04:07:50,82,167
10,2023-10-04 18:12:18,45,110
11,2023-05-17 10:03:35,128,195
12,2023-12-09 16:45:04,117,30
13,2023-06-28 13:37:13,84,164
14,2023-05-05 06:45:29,138,198
15,2023-05-12 04:12:34,123,148
16,2023-04-08 13:43:06,90,188
17,2023-02-06 06:01:34,119,6
18,2023-03-20 04:04:22,109,12
19,2023-09-11 00:23:14,101,41
20,2023-08-15 03:36:11,14,72
21,2023-10-03 13:19:14,139,136
22,2023-03-08 13:54:56,93,9
23,2023-07-23 10:36:26,185,165
24,2023-05-22 18:40:24,110,78
25,2023-01-03 15:28:17,62,110
26,2023-12-02 14:50:04,150,44
27,2023-05-09 20:54:19,60,176
28,2023-05-21 19:43:10,78,9
29,2023-01-30 13:57:34,161,57
30,2023-11-14 06:39:39,137,136
31,2023-12-02 13:10:31,180,182
32,2023-04-27 22:40:43,51,173
33,2023-06-06 12:19:12,43,16
34,2023-08-02 13:56:19,186,105
35,2023-08-28 19:46:05,119,117
36,2023-10-11 05:59:02,154,143
37,2023-12-28 06:19:40,30,113
38,2023-02-13 02:18:14,33,2
39,2023-10-13 13:24:19,27,105
40,2023-06-11 10:01:16,24,85
41,2023-12-19 16:26:25,8,78
42,2023-01-16 20:17:59,106,43
43,2023-10-03 00:37:14,17,70
44,2023-10-26 23:05:51,194,152
45,2023-12-04 11:54:12,91,159
46,2023-09-12 13:45:55,51,28
47,2023-05-19 17:00:16,134,35
48,2023-12-12 15:19:53,147,143
49,2023-02-01 04:34:31,28,118
50,2023-08-18 04:26:05,192,169
51,2023-06-26 16:24:29,33,81
52,2023-05-30 07:41:16,183,16
53,2023-07-11 11:11:50,101,115
54,2023-09-16 18:19:00,148,134
55,2023-07-27 01:30:47,79,100
56,2023-06-21 04:09:10,3,39
57,2023-02-21 14:33:35,9,7
58,2023-01-24 11:10:51,44,199
59,2023-07-02 08:54:33,15,23
60,2023-08-02 16:04:04,107,73
61,2023-01-09 09:28:46,126,47
62,2023-12-11 06:39:51,159,82
63,2023-02-28 22:32:17,27,191
64,2023-07-06 18:58:53,118,9
65,2023-12-11 08:31:46,58,89
66,2023-10-27 06:07:28,10,165
67,2023-03-07 21:54:48,54,194
68,2023-10-07 02:07:27,150,136
69,2023-05-06 20:50:52,191,147
70,2023-02-11 18:00:42,87,139
71,2023-02-23 00:48:22,62,71
72,2023-03-10 18:08:25,39,78
73,2023-07-09 02:12:56,77,108
74,2023-04-11 14:41:31,51,121
75,2023-11-15 22:45:01,150,125
76,2023-06-20 15:19:44,157,160
77,2023-09-08 03:30:57,191,165
78,2023-03-04 00:38:28,198,87
79,2023-07-31 04:37:00,50,151
80,2023-12-20 07:04:50,118,141
81,2023-08-06 18:27:14,125,4
82,2023-02-05 18:36:22,59,111
83,2023-04-28 23:48:19,28,50
84,2023-04-10 12:36:14,74,159
85,2023-04-28 02:08:02,148,128
86,2023-08-11 21:19:36,14,78
87,2023-10-04 03:38:19,164,20
88,2023-02-12 15:56:15,123,189
89,2023-10-14 06:34:25,85,165
90,2023-07-31 17:25:03,87,163
91,2023-11-01 20:51:44,7,43
92,2023-03-04 22:53:21,83,122
93,2023-07-13 09:34:24,122,34
94,2023-02-25 12:16:01,49,82
95,2023-04-27 10:39:30,183,73
96,2023-12-18 19:46:35,108,122
97,2023-09-30 23:22:09,197,163
98,2023-12-26 16:37:01,118,40
99,2023-09-12 22:39:19,121,113
100,2023-11-23 00:48:46,196,139
101,2023-08-18 15:58:46,3,15
102,2023-05-22 04:32:06,19,43
103,2023-05-09 10:54:25,170,38
104,2023-01-25 10:31:26,30,186
105,2023-10-14 14:03:49,115,137
106,2023-06-15 19:38:37,23,17
107,2023-08-06 01:46:11,146,66
108,2023-05-09 05:35:23,92,116
109,2023-07-27 09:01:07,45,99
110,2023-11-24 00:32:47,170,150
111,2023-11-15 09:37:34,196,75
112,2023-07-17 08:39:37,120,54
113,2023-08-10 06:32:21,111,118
114,2023-03-04 03:11:14,182,162
115,2023-07-10 09:30:04,58,11
116,2023-11-03 09:25:14,153,59
117,2023-12-26 20:35:30,132,124
118,2023-12-13 23:21:45,147,32
119,2023-11-19 19:48:06,93,5
120,2023-12-18 16:44:56,137,96
121,2023-09-04 18:47:00,140,9
122,2023-11-18 14:07:57,2,148
123,2023-03-24 16:21:18,86,7
124,2023-11-07 23:24:42,182,127
125,2023-03-22 19:35:12,196,117
126,2023-08-30 20:30:28,192,139
127,2023-01-14 22:43:09,72,106
128,2023-05-01 00:58:29,145,183
129,2023-09-27 21:16:11,95,66
130,2023-02-19 11:43:46,78,171
131,2023-03-27 17:58:03,103,63
132,2023-12-15 20:24:14,4,195
133,2023-02-06 20:14:33,59,192
134,2023-01-24 18:30:05,29,120
135,2023-03-01 19:51:32,31,29
136,2023-07-28 08:01:00,44,110
137,2023-05-04 01:48:08,54,148
