id,name,description,encodingType,feature,properties
2,Room No_2,Feature of interest_2,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
3,Room No_3,Feature of interest_3,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
4,Room No_4,Feature of interest_4,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
5,Room No_5,Feature of interest_5,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
6,Room No_6,Feature of interest_6,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
7,Room No_7,Feature of interest_7,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
8,Room No_8,Feature of interest_8,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
9,Room No_9,Feature of interest_9,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
10,Room No_10,Feature of interest_10,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
11,Room No_11,Feature of interest_11,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
12,Room No_12,Feature of interest_12,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
13,Room No_13,Feature of interest_13,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
14,Room No_14,Feature of interest_14,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
15,Room No_15,Feature of interest_15,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
16,Room No_16,Feature of interest_16,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
17,Room No_17,Feature of interest_17,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
18,Room No_18,Feature of interest_18,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
19,Room No_19,Feature of interest_19,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
20,Room No_20,Feature of interest_20,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
21,Room No_21,Feature of interest_21,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
22,Room No_22,Feature of interest_22,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
23,Room No_23,Feature of interest_23,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
24,Room No_24,Feature of interest_24,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
25,Room No_25,Feature of interest_25,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
26,Room No_26,Feature of interest_26,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
27,Room No_27,Feature of interest_27,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
28,Room No_28,Feature of interest_28,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
29,Room No_29,Feature of interest_29,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
30,Room No_30,Feature of interest_30,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
31,Room No_31,Feature of interest_31,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
32,Room No_32,Feature of interest_32,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
33,Room No_33,Feature of interest_33,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
34,Room No_34,Feature of interest_34,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
35,Room No_35,Feature of interest_35,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
36,Room No_36,Feature of interest_36,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
37,Room No_37,Feature of interest_37,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
38,Room No_38,Feature of interest_38,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
39,Room No_39,Feature of interest_39,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
40,Room No_40,Feature of interest_40,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
41,Room No_41,Feature of interest_41,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
42,Room No_42,Feature of interest_42,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
43,Room No_43,Feature of interest_43,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
