id,name,description,encodingType,location,properties
2,Room No 2,A sensor that measures the Room No 2 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
3,Room No 3,A sensor that measures the Room No 3 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
4,Room No 4,A sensor that measures the Room No 4 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
5,Room No 5,A sensor that measures the Room No 5 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
6,Room No 6,A sensor that measures the Room No 6 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
7,Room No 7,A sensor that measures the Room No 7 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
8,Room No 8,A sensor that measures the Room No 8 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
9,Room No 9,A sensor that measures the Room No 9 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
10,Room No 10,A sensor that measures the Room No 10 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
11,Room No 11,A sensor that measures the Room No 11 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
12,Room No 12,A sensor that measures the Room No 12 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
13,Room No 13,A sensor that measures the Room No 13 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
14,Room No 14,A sensor that measures the Room No 14 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
15,Room No 15,A sensor that measures the Room No 15 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
16,Room No 16,A sensor that measures the Room No 16 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
17,Room No 17,A sensor that measures the Room No 17 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
18,Room No 18,A sensor that measures the Room No 18 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
19,Room No 19,A sensor that measures the Room No 19 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
20,Room No 20,A sensor that measures the Room No 20 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
21,Room No 21,A sensor that measures the Room No 21 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
22,Room No 22,A sensor that measures the Room No 22 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
23,Room No 23,A sensor that measures the Room No 23 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
24,Room No 24,A sensor that measures the Room No 24 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
25,Room No 25,A sensor that measures the Room No 25 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
26,Room No 26,A sensor that measures the Room No 26 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
27,Room No 27,A sensor that measures the Room No 27 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
28,Room No 28,A sensor that measures the Room No 28 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
29,Room No 29,A sensor that measures the Room No 29 in a room,application/vnd.geo+json,0101000020E6100000BA490C022B7F52C0355EBA490C624440,{}
