id,name,defination,description,properties
11,Temperature Sensor_11,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_11,Temperature Sensor_11 present in a substance or an object,{}
12,Temperature Sensor_12,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_12,Temperature Sensor_12 present in a substance or an object,{}
13,Motion Sensor_13,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_13,Motion Sensor_13 present in a substance or an object,{}
14,CO2 Sensor_14,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_14,CO2 Sensor_14 present in a substance or an object,{}
15,Pressure Sensor_15,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_15,Pressure Sensor_15 present in a substance or an object,{}
16,Temperature Sensor_16,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_16,Temperature Sensor_16 present in a substance or an object,{}
17,Light Sensor_17,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_17,Light Sensor_17 present in a substance or an object,{}
18,Motion Sensor_18,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_18,Motion Sensor_18 present in a substance or an object,{}
19,CO2 Sensor_19,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_19,CO2 Sensor_19 present in a substance or an object,{}
20,Humidity Sensor_20,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_20,Humidity Sensor_20 present in a substance or an object,{}
