id,name,defination,description
1,Temperature Sensor_1,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_1,Temperature Sensor_1 present in a substance or an object
2,Humidity Sensor_2,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_2,Humidity Sensor_2 present in a substance or an object
3,Humidity Sensor_3,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_3,Humidity Sensor_3 present in a substance or an object
4,Temperature Sensor_4,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_4,Temperature Sensor_4 present in a substance or an object
5,Light Sensor_5,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_5,Light Sensor_5 present in a substance or an object
6,Motion Sensor_6,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_6,Motion Sensor_6 present in a substance or an object
7,Humidity Sensor_7,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_7,Humidity Sensor_7 present in a substance or an object
8,Pressure Sensor_8,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_8,Pressure Sensor_8 present in a substance or an object
9,Temperature Sensor_9,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_9,Temperature Sensor_9 present in a substance or an object
10,Temperature Sensor_10,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Temperature Sensor_10,Temperature Sensor_10 present in a substance or an object
11,CO2 Sensor_11,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_11,CO2 Sensor_11 present in a substance or an object
12,Humidity Sensor_12,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Humidity Sensor_12,Humidity Sensor_12 present in a substance or an object
13,CO2 Sensor_13,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_13,CO2 Sensor_13 present in a substance or an object
14,Motion Sensor_14,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Motion Sensor_14,Motion Sensor_14 present in a substance or an object
15,Light Sensor_15,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Light Sensor_15,Light Sensor_15 present in a substance or an object
16,CO2 Sensor_16,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_16,CO2 Sensor_16 present in a substance or an object
17,Pressure Sensor_17,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_17,Pressure Sensor_17 present in a substance or an object
18,Pressure Sensor_18,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_18,Pressure Sensor_18 present in a substance or an object
19,Pressure Sensor_19,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#Pressure Sensor_19,Pressure Sensor_19 present in a substance or an object
20,CO2 Sensor_20,http://www.qudt.org/qudt/owl/1.0.0/quantity/Instances.html#CO2 Sensor_20,CO2 Sensor_20 present in a substance or an object
