id,name,encodingType,metadata
1,CO2 Sensor_1,application/pdf,{'specification': 'https://example.com/CO2 Sensor_1-specs.pdf'}
2,Pressure Sensor_2,application/pdf,{'specification': 'https://example.com/Pressure Sensor_2-specs.pdf'}
3,Light Sensor_3,application/pdf,{'specification': 'https://example.com/Light Sensor_3-specs.pdf'}
4,Motion Sensor_4,application/pdf,{'specification': 'https://example.com/Motion Sensor_4-specs.pdf'}
5,CO2 Sensor_5,application/pdf,{'specification': 'https://example.com/CO2 Sensor_5-specs.pdf'}
6,Temperature Sensor_6,application/pdf,{'specification': 'https://example.com/Temperature Sensor_6-specs.pdf'}
7,Light Sensor_7,application/pdf,{'specification': 'https://example.com/Light Sensor_7-specs.pdf'}
8,Humidity Sensor_8,application/pdf,{'specification': 'https://example.com/Humidity Sensor_8-specs.pdf'}
9,Motion Sensor_9,application/pdf,{'specification': 'https://example.com/Motion Sensor_9-specs.pdf'}
10,Temperature Sensor_10,application/pdf,{'specification': 'https://example.com/Temperature Sensor_10-specs.pdf'}
11,Light Sensor_11,application/pdf,{'specification': 'https://example.com/Light Sensor_11-specs.pdf'}
12,Light Sensor_12,application/pdf,{'specification': 'https://example.com/Light Sensor_12-specs.pdf'}
13,Pressure Sensor_13,application/pdf,{'specification': 'https://example.com/Pressure Sensor_13-specs.pdf'}
14,Temperature Sensor_14,application/pdf,{'specification': 'https://example.com/Temperature Sensor_14-specs.pdf'}
15,Humidity Sensor_15,application/pdf,{'specification': 'https://example.com/Humidity Sensor_15-specs.pdf'}
16,Pressure Sensor_16,application/pdf,{'specification': 'https://example.com/Pressure Sensor_16-specs.pdf'}
17,Humidity Sensor_17,application/pdf,{'specification': 'https://example.com/Humidity Sensor_17-specs.pdf'}
18,Humidity Sensor_18,application/pdf,{'specification': 'https://example.com/Humidity Sensor_18-specs.pdf'}
19,Temperature Sensor_19,application/pdf,{'specification': 'https://example.com/Temperature Sensor_19-specs.pdf'}
20,Humidity Sensor_20,application/pdf,{'specification': 'https://example.com/Humidity Sensor_20-specs.pdf'}
21,Motion Sensor_21,application/pdf,{'specification': 'https://example.com/Motion Sensor_21-specs.pdf'}
22,Temperature Sensor_22,application/pdf,{'specification': 'https://example.com/Temperature Sensor_22-specs.pdf'}
23,Pressure Sensor_23,application/pdf,{'specification': 'https://example.com/Pressure Sensor_23-specs.pdf'}
24,Temperature Sensor_24,application/pdf,{'specification': 'https://example.com/Temperature Sensor_24-specs.pdf'}
25,Light Sensor_25,application/pdf,{'specification': 'https://example.com/Light Sensor_25-specs.pdf'}
26,Humidity Sensor_26,application/pdf,{'specification': 'https://example.com/Humidity Sensor_26-specs.pdf'}
27,Motion Sensor_27,application/pdf,{'specification': 'https://example.com/Motion Sensor_27-specs.pdf'}
